,article_name,country,revision_id,article_quality_est.,population
0,Julius Gregr,Czech Republic,395521877.0,Stub,
1,Edvard Gregr,Czech Republic,395526568.0,Stub,
2,Miroslav Poche,Czech Republic,672862914.0,Stub,
3,Vojtěch Mynář,Czech Republic,673008587.0,Stub,
4,Jan Malypetr,Czech Republic,704424304.0,Stub,
5,Emanuel Moravec,Czech Republic,705080136.0,Start,
6,Vladimír Hučín,Czech Republic,707597623.0,Start,
7,Pavla Topolánková,Czech Republic,709676840.0,Start,
8,Josef Barák,Czech Republic,711675761.0,Stub,
9,Antonín Švehla,Czech Republic,712426548.0,Stub,
10,Jakob Marzel Sternberger,Czech Republic,713698544.0,Stub,
11,Alois Anderka,Czech Republic,714174726.0,Stub,
12,Ivan Dejmal,Czech Republic,715467197.0,Start,
13,Franz Macoun,Czech Republic,715640391.0,Stub,
14,Karel Urbánek,Czech Republic,716711851.0,Stub,
15,Vladimír Klokočka,Czech Republic,717429365.0,Start,
16,Jaromír Jermář,Czech Republic,720027362.0,Stub,
17,Artur London,Czech Republic,721736524.0,Start,
18,František Sláma (politician),Czech Republic,722937211.0,Stub,
19,Jan Kubice,Czech Republic,723151837.0,Stub,
20,Kamil Jankovský,Czech Republic,723207013.0,Stub,
21,Václav Vacek,Czech Republic,724691268.0,Stub,
22,Čestmír Císař,Czech Republic,725362978.0,C,
23,Luca Rovinalti,Czech Republic,726666131.0,Stub,
24,Kamil Krofta,Czech Republic,726762194.0,Start,
25,Milan Štěch,Czech Republic,728506208.0,Stub,
26,Antonín Janoušek,Czech Republic,729912438.0,Stub,
27,Bedřich Geminder,Czech Republic,730146355.0,Stub,
28,Karel Domin,Czech Republic,735174171.0,Start,
29,Hubert Ripka,Czech Republic,737562321.0,Start,
30,Tomáš Eduard Šilinger,Czech Republic,741588720.0,Stub,
31,Petr Janyška,Czech Republic,741798984.0,Stub,
32,Jana Juřenčáková,Czech Republic,743423675.0,Stub,
33,Jaromír Nečas,Czech Republic,744448745.0,Stub,
34,Siegfried Taub,Czech Republic,744612257.0,Start,
35,Záviš Kalandra,Czech Republic,746707985.0,Stub,
36,Alois Rašín,Czech Republic,749575931.0,Start,
37,Bedřich Reicin,Czech Republic,749945936.0,Start,
38,Bernd Richter,Czech Republic,751718674.0,Stub,
39,Kamil Kalina,Czech Republic,753045804.0,Stub,
40,Richard Sacher,Czech Republic,755428089.0,Stub,
41,Václav Fischer,Czech Republic,756317863.0,Start,
42,Božena Viková-Kunětická,Czech Republic,757336278.0,Stub,
43,Mikuláš of Hus,Czech Republic,758942647.0,Stub,
44,Gertruda Sekaninová-Čakrtová,Czech Republic,759446334.0,GA,
45,Petr Mlsna,Czech Republic,765838180.0,Stub,
46,Antonín Cyril Stojan,Czech Republic,768047769.0,C,
47,František Kubka,Czech Republic,768676716.0,Stub,
48,Josef Pfitzner,Czech Republic,773853256.0,Start,
