,article_name,country,revision_id,article_quality_est.,population
0,Bir I of Kanem,Chad,355319463.0,Stub,16877000.0
1,Abdullah II of Kanem,Chad,498683267.0,Stub,16877000.0
2,Salmama II of Kanem,Chad,565745353.0,Stub,16877000.0
3,Kuri I of Kanem,Chad,565745365.0,Stub,16877000.0
4,Mohammed I of Kanem,Chad,565745375.0,Stub,16877000.0
5,Kuri II of Kanem,Chad,669719757.0,Stub,16877000.0
6,Bir II of Kanem,Chad,670893206.0,Stub,16877000.0
7,Mahamat Hissene,Chad,693055898.0,Stub,16877000.0
8,Othman I,Chad,705432607.0,Stub,16877000.0
9,Alphonse Kotiga,Chad,707593108.0,Stub,16877000.0
10,Oueddei Kichidemi,Chad,708346649.0,Start,16877000.0
11,Dunama I,Chad,710675092.0,Stub,16877000.0
12,Ahmad (Kanem-Bornu king),Chad,711388267.0,Stub,16877000.0
13,Djibrine Kerallah,Chad,712971263.0,Stub,16877000.0
14,Maurice Ngangtar,Chad,712971315.0,Stub,16877000.0
15,Idriss Miskine,Chad,712971738.0,Stub,16877000.0
16,Laoukein Kourayo Médard,Chad,716886170.0,Stub,16877000.0
17,Nadji Madou,Chad,716886788.0,Stub,16877000.0
18,Noël Milarew Odingar,Chad,716891799.0,Start,16877000.0
19,Yaya Dillo Djérou,Chad,717733209.0,Stub,16877000.0
20,Acheikh Ibn-Oumar,Chad,719821590.0,Start,16877000.0
21,Quatre Sou Quatre,Chad,720066754.0,Stub,16877000.0
22,Ali Gazi,Chad,722563340.0,Stub,16877000.0
23,Mahamat Djarma Khatir,Chad,725132042.0,Stub,16877000.0
24,Dunama IX Lefiami,Chad,731749611.0,Stub,16877000.0
25,Dawud of Kanem,Chad,736550266.0,Stub,16877000.0
26,Ahmed Koulamallah,Chad,738855197.0,Start,16877000.0
27,Abbo Nassour,Chad,741369486.0,C,16877000.0
28,Abdel Kader Baba-Laddé,Chad,742213176.0,Stub,16877000.0
29,Hummay,Chad,747271475.0,Stub,16877000.0
30,Ngarlejy Yorongar,Chad,751304544.0,C,16877000.0
31,Saleh Kezabo,Chad,751380073.0,Stub,16877000.0
32,Bourkou Louise Kabo,Chad,757072468.0,Start,16877000.0
33,Brahim Koulamallah,Chad,757802238.0,Stub,16877000.0
34,Saadie Goukouni Weddeye,Chad,757842614.0,Start,16877000.0
35,Mahamoud Adam Béchir,Chad,762579466.0,Start,16877000.0
