,page,country,rev_id,prediction,FIPS,Type,TimeFrame,Data (M),Population,_merge
0,Bir I of Kanem,Chad,355319463.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
1,Abdullah II of Kanem,Chad,498683267.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
2,Salmama II of Kanem,Chad,565745353.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
3,Kuri I of Kanem,Chad,565745365.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
4,Mohammed I of Kanem,Chad,565745375.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
5,Kuri II of Kanem,Chad,669719757.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
6,Bir II of Kanem,Chad,670893206.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
7,Mahamat Hissene,Chad,693055898.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
8,Othman I,Chad,705432607.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
9,Alphonse Kotiga,Chad,707593108.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
10,Oueddei Kichidemi,Chad,708346649.0,Start,TD,Country,2019.0,16.877,16877000.0,both
11,Dunama I,Chad,710675092.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
12,Ahmad (Kanem-Bornu king),Chad,711388267.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
13,Djibrine Kerallah,Chad,712971263.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
14,Maurice Ngangtar,Chad,712971315.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
15,Idriss Miskine,Chad,712971738.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
16,Laoukein Kourayo Médard,Chad,716886170.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
17,Nadji Madou,Chad,716886788.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
18,Noël Milarew Odingar,Chad,716891799.0,Start,TD,Country,2019.0,16.877,16877000.0,both
19,Yaya Dillo Djérou,Chad,717733209.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
20,Acheikh Ibn-Oumar,Chad,719821590.0,Start,TD,Country,2019.0,16.877,16877000.0,both
21,Quatre Sou Quatre,Chad,720066754.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
22,Ali Gazi,Chad,722563340.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
